MAE
64583.84712170714
CA3,CA5
0.5574144486692015,0.7460076045627376
ID,age,age_p,error
85,1,[3.3180172],[2.3180172]
86,1,[3.1475859],[2.1475859]
87,2,[4.3187156],[2.3187156]
88,3,[3.8470128],[0.84701276]
89,1,[3.243755],[2.243755]
90,2,[3.267778],[1.2677779]
91,1,[3.1092556],[2.1092556]
92,1,[3.1511948],[2.1511948]
93,1,[3.3660908],[2.3660908]
94,1,[3.0895598],[2.0895598]
95,3,[3.385168],[0.38516808]
96,4,[3.2276397],[0.7723603]
97,1,[3.417971],[2.417971]
98,1,[3.313327],[2.313327]
99,1,[3.304586],[2.304586]
100,1,[3.1942363],[2.1942363]
101,1,[3.1742055],[2.1742055]
102,2,[3.3272347],[1.3272347]
103,2,[3.1159227],[1.1159227]
104,1,[3.2071147],[2.2071147]
105,1,[3.2013726],[2.2013726]
106,2,[3.2064168],[1.2064168]
107,2,[3.2532682],[1.2532682]
108,2,[3.159625],[1.159625]
109,1,[3.2445614],[2.2445614]
110,1,[5.9715743],[4.9715743]
111,3,[3.1576402],[0.15764022]
112,2,[3.1335013],[1.1335013]
113,2,[3.2428172],[1.2428172]
114,1,[3.1551218],[2.1551218]
115,1,[3.4528136],[2.4528136]
116,1,[3.1049106],[2.1049106]
117,1,[3.124335],[2.124335]
118,1,[3.2143192],[2.2143192]
119,1,[3.0859122],[2.0859122]
120,1,[3.1246822],[2.1246822]
121,1,[3.2219293],[2.2219293]
122,2,[3.1025085],[1.1025085]
123,1,[3.2976382],[2.2976382]
124,2,[3.297976],[1.297976]
125,2,[3.094386],[1.0943861]
126,2,[3.2065113],[1.2065113]
127,3,[3.1182585],[0.11825848]
128,1,[3.2048883],[2.2048883]
129,1,[4.7608075],[3.7608075]
130,3,[3.2224865],[0.2224865]
131,1,[3.1846926],[2.1846926]
132,1,[3.152249],[2.152249]
133,1,[3.3195736],[2.3195736]
134,1,[3.900116],[2.900116]
135,2,[4.643022],[2.643022]
136,1,[3.2312698],[2.2312698]
137,1,[3.118032],[2.118032]
138,1,[3.185764],[2.185764]
139,1,[3.1327279],[2.1327279]
140,1,[3.1932614],[2.1932614]
141,1,[3.1828678],[2.1828678]
142,2,[3.1882267],[1.1882267]
143,1,[3.2696953],[2.2696953]
144,11,[14.261623],[3.2616234]
145,10,[3.153248],[6.846752]
146,9,[4.0543613],[4.9456387]
147,6,[3.572538],[2.427462]
148,5,[11.51342],[6.51342]
149,11,[11.003207],[0.00320721]
150,9,[6.6441517],[2.3558483]
151,11,[5.290982],[5.709018]
152,6,[3.1730776],[2.8269224]
153,6,[3.5739255],[2.4260745]
154,10,[9.402787],[0.5972128]
155,10,[3.2671812],[6.7328186]
156,9,[5.2959085],[3.7040915]
157,7,[6.508396],[0.49160385]
158,6,[3.92308],[2.07692]
159,9,[4.2710733],[4.7289267]
160,9,[3.521167],[5.478833]
161,10,[3.476306],[6.523694]
162,6,[3.4737418],[2.5262582]
163,8,[3.2113612],[4.788639]
164,12,[7.126312],[4.873688]
165,9,[5.073382],[3.926618]
166,6,[3.7740905],[2.2259095]
167,9,[6.7328854],[2.2671146]
168,9,[6.8995757],[2.1004243]
169,6,[15.483642],[9.483642]
170,9,[3.1967196],[5.8032804]
171,9,[3.492829],[5.5071707]
172,6,[3.1364493],[2.8635507]
173,13,[27.57613],[14.57613]
174,13,[9.174787],[3.8252134]
175,8,[7.095441],[0.90455914]
176,10,[6.5626717],[3.4373283]
177,9,[5.8527946],[3.1472054]
178,7,[7.87631],[0.8763099]
179,6,[7.8471637],[1.8471637]
180,9,[12.548334],[3.5483341]
181,6,[8.853576],[2.8535757]
182,9,[5.838269],[3.1617308]
183,6,[6.2000227],[0.2000227]
184,6,[23.639236],[17.639236]
185,7,[6.5021353],[0.49786472]
186,7,[4.919899],[2.080101]
187,11,[10.837285],[0.16271496]
188,6,[3.9254444],[2.0745556]
189,7,[10.718024],[3.7180243]
190,8,[4.1499014],[3.8500986]
191,6,[13.379616],[7.379616]
192,6,[3.2292953],[2.7707047]
193,8,[3.239493],[4.760507]
194,7,[16.751928],[9.751928]
195,6,[3.3409398],[2.6590602]
196,13,[5.977535],[7.022465]
197,10,[4.0723286],[5.9276714]
198,9,[23.529593],[14.5295925]
199,6,[21.868034],[15.868034]
200,11,[14.669025],[3.6690254]
201,6,[3.5062966],[2.4937034]
202,10,[23.51805],[13.518049]
203,9,[9.545233],[0.5452328]
204,6,[6.805388],[0.805388]
205,9,[6.890399],[2.109601]
206,6,[5.8475714],[0.15242863]
207,8,[4.0905437],[3.9094563]
208,12,[8.104032],[3.8959684]
209,13,[10.0367],[2.9632998]
210,10,[5.9352407],[4.0647593]
211,10,[16.856897],[6.8568974]
212,11,[22.395456],[11.395456]
213,7,[16.544582],[9.544582]
214,13,[20.438671],[7.438671]
215,11,[13.508799],[2.5087986]
216,9,[17.092766],[8.092766]
217,11,[6.642543],[4.357457]
218,14,[21.089005],[7.0890045]
219,7,[20.144602],[13.144602]
220,7,[3.3980217],[3.6019783]
221,7,[6.1503005],[0.8496995]
222,9,[4.971789],[4.028211]
223,11,[28.534525],[17.534525]
224,11,[18.47307],[7.47307]
225,7,[3.1754458],[3.8245542]
226,12,[14.07027],[2.0702696]
227,7,[4.7484818],[2.2515182]
228,9,[11.651657],[2.651657]
229,10,[3.2762764],[6.7237234]
230,11,[18.07539],[7.07539]
231,7,[6.4599648],[0.54003525]
232,11,[8.942006],[2.057994]
233,7,[12.030698],[5.030698]
234,11,[21.874027],[10.874027]
235,10,[21.496021],[11.496021]
236,10,[13.0650425],[3.0650425]
237,12,[7.196018],[4.803982]
238,9,[15.86677],[6.86677]
239,7,[7.7056465],[0.7056465]
240,14,[3.2746644],[10.725336]
241,11,[3.3319912],[7.668009]
242,7,[4.6255937],[2.3744063]
243,11,[24.101212],[13.101212]
244,12,[5.2344117],[6.7655883]
245,7,[9.146702],[2.1467018]
246,8,[3.252511],[4.747489]
247,14,[14.164238],[0.16423798]
248,8,[4.1670065],[3.8329935]
249,13,[5.3542027],[7.6457973]
250,7,[3.3340414],[3.6659586]
251,8,[3.2598133],[4.7401867]
252,7,[17.363491],[10.363491]
253,7,[4.30069],[2.6993098]
254,8,[3.3662536],[4.633746]
255,13,[19.239565],[6.239565]
256,7,[5.4457183],[1.5542817]
257,11,[11.698555],[0.698555]
258,11,[19.061928],[8.061928]
259,10,[10.327328],[0.32732773]
260,7,[4.0716243],[2.9283757]
261,10,[6.9139185],[3.0860815]
262,7,[4.9696827],[2.0303173]
263,7,[3.3985517],[3.6014483]
264,7,[3.3406053],[3.6593947]
265,9,[22.506695],[13.506695]
266,10,[16.562021],[6.5620213]
267,14,[10.008026],[3.9919739]
268,7,[3.1796136],[3.8203864]
269,8,[11.061977],[3.0619774]
270,8,[13.464768],[5.4647684]
271,10,[9.971591],[0.028409]
272,8,[19.545177],[11.545177]
273,13,[19.892479],[6.892479]
274,8,[6.3622665],[1.6377335]
275,8,[12.808085],[4.8080854]
276,10,[23.215067],[13.215067]
277,8,[3.968636],[4.031364]
278,8,[15.695298],[7.695298]
279,9,[3.437766],[5.562234]
280,8,[12.5078945],[4.5078945]
281,10,[11.109586],[1.1095858]
282,8,[4.549953],[3.450047]
283,8,[5.491795],[2.508205]
284,10,[4.8633757],[5.1366243]
285,13,[13.32118],[0.32118034]
286,8,[13.895215],[5.895215]
287,15,[15.531944],[0.5319443]
288,8,[8.198943],[0.19894314]
289,9,[14.268209],[5.2682095]
290,9,[3.3781874],[5.621813]
291,8,[8.238433],[0.23843288]
292,9,[13.470463],[4.470463]
293,8,[18.01532],[10.01532]
294,10,[15.658522],[5.6585217]
295,8,[8.262044],[0.26204395]
296,8,[10.305582],[2.305582]
297,8,[8.621055],[0.62105465]
298,10,[12.051524],[2.0515242]
299,11,[13.40831],[2.40831]
300,8,[5.8179536],[2.1820464]
301,8,[16.562021],[8.562021]
302,12,[10.912355],[1.0876446]
303,8,[6.8161335],[1.1838665]
304,8,[4.970975],[3.029025]
305,9,[4.7677417],[4.2322583]
306,8,[7.083919],[0.91608095]
307,13,[14.912143],[1.9121428]
308,8,[4.3529725],[3.6470275]
309,8,[10.3202305],[2.3202305]
310,8,[4.1827292],[3.8172708]
311,8,[12.656062],[4.656062]
312,11,[13.87383],[2.8738298]
313,12,[14.662959],[2.662959]
314,12,[6.575183],[5.424817]
315,9,[7.9988885],[1.0011115]
316,12,[15.8808775],[3.8808775]
317,12,[8.936044],[3.0639563]
318,12,[10.296654],[1.7033463]
319,8,[15.377787],[7.3777866]
320,12,[16.334438],[4.3344383]
321,12,[9.050781],[2.9492188]
322,13,[14.903021],[1.9030209]
323,12,[12.670935],[0.6709347]
324,12,[5.5913672],[6.4086328]
325,13,[19.868904],[6.868904]
326,7,[17.60554],[10.605539]
327,10,[21.853779],[11.853779]
328,12,[4.137136],[7.862864]
329,12,[19.994766],[7.994766]
330,12,[23.769375],[11.769375]
331,10,[14.7303505],[4.7303505]
332,8,[3.517739],[4.4822607]
333,8,[6.5181026],[1.4818974]
334,8,[6.195528],[1.804472]
335,11,[15.111639],[4.111639]
336,12,[12.478244],[0.47824383]
337,12,[6.4019065],[5.5980935]
338,12,[7.3329945],[4.6670055]
339,12,[7.046439],[4.953561]
340,12,[5.296892],[6.703108]
341,12,[13.748291],[1.748291]
342,14,[19.164787],[5.1647873]
343,8,[6.9409194],[1.0590806]
344,8,[13.914047],[5.9140472]
345,8,[10.91421],[2.9142103]
346,9,[8.02409],[0.9759102]
347,10,[9.331245],[0.6687546]
348,12,[14.652533],[2.6525326]
349,9,[15.583753],[6.5837526]
350,14,[3.5488856],[10.451115]
351,8,[3.8975978],[4.102402]
352,12,[19.156292],[7.156292]
353,13,[9.105677],[3.8943233]
354,8,[11.682309],[3.6823092]
355,12,[12.887665],[0.8876648]
356,8,[11.319478],[3.319478]
357,12,[4.8228335],[7.1771665]
358,9,[8.6714945],[0.32850552]
359,12,[10.40418],[1.5958204]
360,12,[15.60103],[3.6010303]
361,12,[4.3685246],[7.6314754]
362,16,[16.120216],[0.12021637]
363,13,[9.220436],[3.779564]
364,12,[14.337321],[2.3373213]
365,12,[16.981512],[4.981512]
366,12,[19.476625],[7.4766254]
367,9,[14.05994],[5.0599403]
368,11,[20.199139],[9.199139]
369,13,[20.85393],[7.8539295]
370,11,[20.50534],[9.505341]
371,12,[10.523701],[1.4762993]
372,12,[12.453393],[0.45339298]
373,12,[7.5270653],[4.4729347]
374,9,[13.814764],[4.814764]
375,12,[9.9443],[2.0557003]
376,9,[9.438089],[0.43808937]
377,9,[15.259994],[6.2599936]
378,12,[3.356732],[8.643269]
379,12,[12.561132],[0.56113243]
380,12,[15.946029],[3.9460287]
381,9,[5.108666],[3.891334]
382,12,[18.78419],[6.784189]
383,12,[7.856471],[4.143529]
384,12,[21.223675],[9.223675]
385,12,[18.813812],[6.8138123]
386,12,[12.853104],[0.85310364]
387,12,[12.12745],[0.12744999]
388,12,[25.766819],[13.766819]
389,12,[3.2599761],[8.740024]
390,12,[40.437737],[28.437737]
391,12,[12.69906],[0.69906044]
392,12,[7.6706223],[4.3293777]
393,12,[15.2541],[3.2540998]
394,12,[4.82055],[7.17945]
395,12,[16.220623],[4.220623]
396,12,[20.016901],[8.016901]
397,12,[12.54893],[0.54893017]
398,12,[23.529167],[11.529167]
399,12,[5.242799],[6.757201]
400,12,[10.557004],[1.442996]
401,12,[21.722282],[9.722282]
402,12,[5.871041],[6.128959]
403,12,[17.049282],[5.049282]
404,12,[5.891615],[6.108385]
405,12,[11.345163],[0.65483665]
406,12,[16.43964],[4.43964]
407,8,[8.62194],[0.62193966]
408,12,[3.9223654],[8.077635]
409,12,[8.587641],[3.4123592]
410,13,[19.265762],[6.2657623]
411,12,[11.167123],[0.83287716]
412,12,[7.1341853],[4.8658147]
413,10,[6.0755734],[3.9244266]
414,8,[3.924174],[4.0758257]
415,8,[3.6249218],[4.375078]
416,12,[20.179482],[8.1794815]
417,8,[12.346504],[4.346504]
418,11,[10.411201],[0.5887995]
419,14,[11.393169],[2.6068306]
420,10,[19.796753],[9.796753]
421,11,[12.46265],[1.4626503]
422,12,[7.41397],[4.58603]
423,14,[12.696254],[1.3037462]
424,13,[10.415334],[2.5846663]
425,13,[8.585601],[4.414399]
426,13,[24.493979],[11.4939785]
427,8,[5.056488],[2.943512]
428,16,[3.2845795],[12.715421]
429,11,[8.502881],[2.497119]
430,15,[16.890038],[1.8900375]
431,13,[13.174999],[0.17499924]
432,9,[20.467445],[11.467445]
433,9,[10.008963],[1.0089626]
434,15,[24.897522],[9.897522]
435,14,[10.52644],[3.4735603]
436,9,[6.0710225],[2.9289775]
437,12,[19.239342],[7.2393417]
438,13,[19.882841],[6.882841]
439,12,[19.33447],[7.3344707]
440,14,[16.57518],[2.57518]
441,14,[15.014593],[1.0145931]
442,16,[23.147503],[7.147503]
443,14,[24.294016],[10.294016]
444,12,[13.020791],[1.020791]
445,13,[16.837826],[3.8378258]
446,11,[17.024574],[6.0245743]
447,15,[10.730416],[4.2695837]
448,14,[23.980305],[9.980305]
449,9,[8.621055],[0.37894535]
450,14,[10.445616],[3.5543842]
451,13,[14.541171],[1.5411711]
452,13,[15.1334095],[2.1334095]
453,14,[7.5176463],[6.4823537]
454,13,[3.5414934],[9.458507]
455,13,[7.875254],[5.124746]
456,12,[11.91903],[0.08096981]
457,13,[17.327234],[4.3272343]
458,12,[9.607012],[2.3929882]
459,12,[14.049308],[2.0493078]
460,13,[15.619029],[2.619029]
461,13,[13.179037],[0.1790371]
462,13,[16.170506],[3.1705055]
463,14,[16.763165],[2.7631645]
464,13,[14.602214],[1.6022139]
465,14,[10.168254],[3.831746]
466,12,[7.1188364],[4.8811636]
467,16,[28.601511],[12.601511]
468,13,[12.074177],[0.9258232]
469,13,[4.7497587],[8.250241]
470,13,[16.490538],[3.4905376]
471,13,[19.265762],[6.2657623]
472,12,[3.5915942],[8.408405]
473,14,[15.81489],[1.8148899]
474,16,[13.619274],[2.3807259]
475,13,[19.773582],[6.7735825]
476,14,[8.276931],[5.723069]
477,16,[14.554143],[1.445857]
478,10,[12.912743],[2.9127426]
479,9,[6.728683],[2.271317]
480,14,[8.996612],[5.0033884]
481,14,[22.59826],[8.598261]
482,9,[4.860921],[4.139079]
483,12,[14.414412],[2.4144115]
484,9,[6.413683],[2.586317]
485,14,[7.829446],[6.170554]
486,12,[5.377971],[6.622029]
487,10,[9.775912],[0.22408772]
488,14,[14.579209],[0.5792093]
489,9,[11.261538],[2.2615376]
490,9,[11.874314],[2.8743143]
491,14,[17.994616],[3.9946156]
492,14,[18.166698],[4.1666985]
493,16,[13.729334],[2.2706661]
494,13,[8.247671],[4.752329]
495,11,[21.178318],[10.178318]
496,10,[4.185556],[5.814444]
497,10,[18.428778],[8.428778]
498,13,[7.426213],[5.573787]
499,13,[9.204838],[3.7951622]
500,17,[23.024658],[6.024658]
501,10,[3.5879138],[6.4120865]
502,14,[12.54893],[1.4510698]
503,14,[4.481912],[9.518087]
504,10,[20.736881],[10.736881]
505,17,[18.239729],[1.2397289]
506,14,[15.93527],[1.9352703]
507,13,[15.045154],[2.0451536]
508,13,[11.54908],[1.4509201]
509,16,[10.30392],[5.69608]
510,13,[17.649035],[4.6490345]
511,12,[8.536363],[3.4636374]
512,10,[9.157952],[0.8420477]
513,10,[16.557768],[6.557768]
514,11,[9.645671],[1.3543291]
515,11,[8.79978],[2.20022]
516,13,[23.042173],[10.042173]
517,13,[14.477938],[1.4779377]
518,13,[14.074687],[1.074687]
519,13,[4.8933754],[8.106625]
520,10,[10.190734],[0.19073391]
521,13,[9.911397],[3.088603]
522,14,[17.072084],[3.0720844]
523,10,[8.048629],[1.9513712]
524,13,[16.805332],[3.8053322]
525,13,[20.697536],[7.6975365]
526,10,[22.28114],[12.281139]
527,10,[24.804415],[14.804415]
528,10,[6.908568],[3.091432]
529,10,[8.904072],[1.0959282]
530,15,[17.21083],[2.2108307]
531,10,[10.305791],[0.3057909]
532,14,[11.351513],[2.648487]
533,13,[14.118167],[1.1181669]
534,17,[17.495623],[0.49562263]
535,14,[18.947206],[4.9472065]
536,10,[19.754707],[9.754707]
537,16,[13.245993],[2.7540073]
538,13,[6.695867],[6.304133]
539,12,[13.620653],[1.6206532]
540,10,[17.674414],[7.6744137]
541,13,[20.153725],[7.1537247]
542,10,[19.156317],[9.156317]
543,12,[12.181551],[0.18155098]
544,15,[18.867393],[3.8673935]
545,15,[16.334415],[1.3344154]
546,15,[14.588945],[0.4110546]
547,16,[19.08173],[3.08173]
548,16,[14.529723],[1.4702768]
549,15,[18.204514],[3.2045135]
550,15,[10.773112],[4.2268877]
551,15,[16.20973],[1.2097301]
552,15,[18.611374],[3.611374]
553,15,[18.076593],[3.0765934]
554,18,[13.834379],[4.165621]
555,15,[21.200722],[6.2007217]
556,19,[19.604717],[0.60471725]
557,15,[24.534483],[9.534483]
558,16,[16.415424],[0.41542435]
559,15,[17.398329],[2.3983288]
560,15,[19.38371],[4.383711]
561,11,[20.421373],[9.421373]
562,14,[15.630062],[1.6300621]
563,14,[16.342043],[2.342043]
564,15,[13.531853],[1.4681473]
565,15,[18.219227],[3.2192268]
566,15,[21.984348],[6.9843483]
567,11,[12.103326],[1.1033258]
568,15,[22.394432],[7.394432]
569,15,[15.714797],[0.714797]
570,14,[15.158169],[1.1581688]
571,15,[18.243649],[3.2436485]
572,15,[16.452496],[1.4524956]
573,15,[19.268528],[4.268528]
574,15,[25.609838],[10.6098385]
575,19,[21.01855],[2.0185509]
576,16,[6.6885242],[9.311476]
577,15,[18.803099],[3.8030987]
578,11,[14.977843],[3.9778433]
579,19,[21.62557],[2.6255703]
580,15,[20.102896],[5.1028957]
581,15,[18.509361],[3.5093613]
582,16,[16.91628],[0.91628075]
583,13,[21.264578],[8.264578]
584,15,[14.280096],[0.71990395]
585,14,[16.47457],[2.4745693]
586,14,[20.376804],[6.3768044]
587,14,[15.778166],[1.7781658]
588,14,[12.618322],[1.3816776]
589,16,[15.810083],[0.18991661]
590,15,[21.36012],[6.360121]
591,16,[17.37077],[1.3707695]
592,16,[18.519754],[2.5197544]
593,11,[11.393169],[0.3931694]
594,15,[16.574432],[1.5744324]
595,15,[15.438463],[0.4384632]
596,15,[20.43676],[5.43676]
597,15,[11.827959],[3.172041]
598,11,[15.682948],[4.682948]
599,15,[4.9658604],[10.03414]
600,15,[17.821428],[2.8214283]
601,15,[22.125854],[7.1258545]
602,11,[13.341111],[2.3411112]
603,16,[12.618947],[3.381053]
604,17,[21.513294],[4.513294]
605,15,[14.111001],[0.888999]
606,16,[17.417646],[1.4176464]
607,16,[10.481712],[5.5182877]
608,15,[14.5457],[0.45429993]
609,16,[17.030926],[1.0309258]
610,15,[18.129805],[3.1298046]
611,17,[19.926287],[2.9262867]
612,15,[18.504559],[3.5045586]
613,15,[20.198397],[5.1983967]
614,19,[16.257223],[2.7427769]
615,15,[18.343912],[3.3439121]
616,16,[17.721756],[1.721756]
617,15,[9.204838],[5.795162]
618,18,[10.4692135],[7.5307865]
619,16,[17.84048],[1.8404808]
620,18,[18.73526],[0.73526]
621,15,[22.235474],[7.2354736]
622,15,[17.226562],[2.2265625]
623,16,[12.3315735],[3.6684265]
624,15,[19.136675],[4.136675]
625,15,[18.811308],[3.811308]
626,15,[15.673748],[0.673748]
627,17,[23.01673],[6.0167294]
628,19,[17.796398],[1.2036018]
629,16,[16.415516],[0.4155159]
630,16,[18.319525],[2.3195248]
631,12,[15.636558],[3.6365576]
632,16,[17.827496],[1.8274956]
633,19,[17.030058],[1.9699421]
634,16,[18.518774],[2.518774]
635,16,[19.908031],[3.9080315]
636,19,[22.25975],[3.2597504]
637,16,[15.919398],[0.08060169]
638,16,[15.781006],[0.21899414]
639,17,[15.0959015],[1.9040985]
640,17,[11.348638],[5.6513624]
641,19,[17.645588],[1.3544121]
642,19,[17.201445],[1.7985554]
643,16,[21.526438],[5.5264378]
644,16,[16.267797],[0.26779747]
645,17,[16.111128],[0.88887215]
646,16,[20.028126],[4.028126]
647,17,[19.82443],[2.8244305]
648,17,[18.851606],[1.8516064]
649,16,[22.154629],[6.1546288]
650,20,[17.470411],[2.5295887]
651,16,[17.60071],[1.6007099]
652,16,[15.736263],[0.26373672]
653,16,[16.979807],[0.9798069]
654,16,[14.208396],[1.791604]
655,16,[16.18352],[0.18351936]
656,16,[20.875908],[4.875908]
657,16,[23.974003],[7.974003]
658,16,[16.638626],[0.6386261]
659,16,[24.196165],[8.196165]
660,16,[22.196426],[6.1964264]
661,16,[6.605018],[9.394981]
662,20,[22.012487],[2.0124874]
663,16,[18.103806],[2.1038055]
664,16,[17.066755],[1.0667553]
665,16,[13.218939],[2.7810612]
666,16,[13.96213],[2.0378704]
667,16,[14.487949],[1.5120506]
668,19,[18.246096],[0.75390434]
669,16,[18.229464],[2.2294636]
670,17,[12.227523],[4.772477]
671,17,[13.026058],[3.9739418]
672,12,[19.159111],[7.159111]
673,17,[18.244644],[1.2446442]
674,12,[20.038996],[8.038996]
675,13,[19.567415],[6.567415]
676,18,[13.317358],[4.682642]
677,13,[19.125416],[6.125416]
678,17,[25.152706],[8.152706]
679,16,[14.211236],[1.788764]
680,15,[16.596113],[1.5961132]
681,16,[13.57795],[2.4220505]
682,16,[19.266085],[3.2660847]
683,12,[22.73778],[10.73778]
684,15,[20.59506],[5.5950603]
685,12,[20.95025],[8.950251]
686,15,[6.868067],[8.131933]
687,15,[13.683827],[1.3161726]
688,12,[17.472271],[5.472271]
689,17,[16.502193],[0.49780655]
690,13,[19.048027],[6.048027]
691,16,[18.252417],[2.2524166]
692,15,[23.938856],[8.938856]
693,18,[20.115616],[2.1156158]
694,17,[12.430319],[4.569681]
695,15,[23.114204],[8.114204]
696,14,[12.903905],[1.0960951]
697,18,[20.873423],[2.8734226]
698,15,[15.490959],[0.49095917]
699,15,[12.68608],[2.31392]
700,15,[21.185213],[6.185213]
701,13,[14.940141],[1.9401407]
702,17,[16.249922],[0.7500782]
703,16,[21.917336],[5.9173355]
704,20,[19.108978],[0.8910217]
705,17,[16.010298],[0.9897022]
706,12,[22.678663],[10.678663]
707,16,[16.453138],[0.45313835]
708,17,[17.369366],[0.3693657]
709,18,[14.566332],[3.4336681]
710,18,[22.159029],[4.159029]
711,16,[17.706833],[1.7068329]
712,12,[18.394527],[6.3945274]
713,18,[17.585506],[0.41449356]
714,15,[11.423375],[3.5766249]
715,17,[19.52814],[2.528139]
716,15,[18.397612],[3.3976116]
717,16,[18.973837],[2.973837]
718,15,[21.10586],[6.1058598]
719,13,[25.312801],[12.312801]
720,16,[25.168182],[9.168182]
721,12,[19.395103],[7.3951035]
722,15,[20.08067],[5.0806694]
723,17,[12.500023],[4.499977]
724,15,[19.293205],[4.2932053]
725,16,[17.491053],[1.4910526]
726,17,[23.327839],[6.327839]
727,13,[9.856709],[3.1432915]
728,16,[19.594936],[3.5949364]
729,16,[23.98595],[7.9859505]
730,16,[17.272932],[1.272932]
731,16,[21.965593],[5.9655933]
732,19,[16.53893],[2.461069]
733,17,[17.757206],[0.75720596]
734,17,[13.550467],[3.4495335]
735,16,[21.410782],[5.410782]
736,20,[14.29055],[5.70945]
737,16,[18.20648],[2.20648]
738,16,[20.422083],[4.422083]
739,16,[20.366295],[4.366295]
740,16,[18.907385],[2.9073849]
741,17,[17.441185],[0.441185]
742,16,[19.8929],[3.8929005]
743,15,[17.098137],[2.098137]
744,16,[17.761745],[1.7617455]
745,16,[26.946049],[10.946049]
746,17,[17.029789],[0.02978897]
747,17,[15.598219],[1.4017811]
748,15,[11.2143545],[3.7856455]
749,16,[19.090229],[3.090229]
750,16,[13.518613],[2.4813871]
751,15,[16.856417],[1.8564167]
752,16,[20.16931],[4.1693096]
753,17,[20.582962],[3.582962]
754,13,[19.612371],[6.6123714]
755,16,[18.501144],[2.5011444]
756,17,[19.185305],[2.1853046]
757,16,[18.24441],[2.2444096]
758,17,[18.414053],[1.414053]
759,17,[13.7287],[3.2713003]
760,15,[13.336446],[1.6635542]
761,17,[18.206543],[1.206543]
762,17,[22.780533],[5.780533]
763,20,[20.993061],[0.99306107]
764,16,[22.85617],[6.8561707]
765,17,[19.93001],[2.9300098]
766,17,[19.000206],[2.000206]
767,20,[19.762629],[0.23737144]
768,19,[20.112457],[1.1124573]
769,15,[18.17174],[3.1717396]
770,17,[16.305975],[0.69402504]
771,21,[14.993038],[6.006962]
772,17,[17.457748],[0.4577484]
773,18,[21.807106],[3.807106]
774,20,[23.406746],[3.406746]
775,15,[19.654585],[4.654585]
